CASENUM,ASCIIRT,CSCIIRT,ESCIIRT,GSCIIRT,ISCIIRT,KSCIIRT
1001,NA,NA,NA,45.48,42.42,NA
1002,33.13,34.29,NA,30.91,40.87,NA
1003,NA,NA,NA,63.48,65.02,64.32
1004,54.93,NA,NA,NA,NA,NA
1005,46.93,42.97,53.63,65.35,NA,NA
1006,26.75,NA,NA,NA,NA,NA
1007,NA,NA,NA,76.34,79.14,74.98
1008,NA,NA,NA,61.86,NA,64.86
1009,41.69,42.92,65.82,64.9,NA,NA
1010,NA,NA,NA,41.74,53.55,52.6
1011,48.57,64.17,64.35,69.03,70.27,82.07
1012,46.46,46.33,52.09,55.72,53.25,60.13
1013,NA,NA,NA,49.29,45.11,49.82
1014,NA,NA,NA,64.86,67.45,69.56
1015,NA,NA,NA,39.25,NA,NA
1016,56.8,NA,NA,NA,NA,NA
1017,65.5,69.09,73.31,77.35,81.12,84.64
1018,NA,NA,NA,37.09,37.44,38.31
1019,NA,NA,NA,75.81,82.05,NA
1020,NA,NA,NA,75.05,75.05,80.21
1021,NA,NA,NA,44.58,57.04,53.78
1022,NA,NA,NA,NA,NA,NA
1023,63.14,69.45,67.58,66.26,NA,NA
1024,42.36,38.33,NA,58.93,NA,NA
1025,NA,NA,NA,59.59,66.7,64.73
1026,NA,NA,NA,75.22,76.68,81.4
1027,NA,NA,NA,44.7,50.76,53.25
1028,NA,NA,NA,69.91,70.07,70.74
1029,42.22,NA,58.07,58.81,55.81,61.1
1030,NA,NA,NA,65.66,NA,NA
1031,NA,NA,NA,62.63,NA,NA
1032,62.87,70.37,NA,NA,NA,NA
1033,49.9,36.2,45.48,47.88,51.53,50.22
1034,58.54,53.94,64.92,62.94,65.67,NA
1035,NA,NA,NA,NA,NA,NA
1036,41,56.53,55.49,NA,51.25,42.66
1037,NA,NA,NA,50.58,58.17,60.39
1038,NA,NA,NA,59.48,58.07,64.85
1039,35.13,44.93,NA,37.51,41.13,NA
1040,60.8,59.12,62.44,62.51,70.06,66.13
1041,54.5,63.89,63.11,70.72,66.91,NA
1042,NA,NA,NA,58.92,NA,63.41
1043,46.77,44.1,NA,58.25,NA,62.16
1044,NA,NA,NA,60.83,NA,NA
1045,74.59,71.1,76.64,82.7,87.7,85.92
1046,52.75,69.48,NA,NA,NA,NA
1047,48.24,55.28,NA,NA,NA,NA
1048,NA,NA,NA,62.11,NA,67.5
1049,NA,NA,NA,50.43,54.42,60.7
1050,NA,NA,NA,66.46,NA,NA
1051,NA,NA,NA,47.25,NA,NA
1052,47.27,47.98,49.51,53.69,61.73,60.57
1053,NA,NA,NA,41.07,NA,NA
1054,54.33,56.62,61.16,58.09,NA,59.95
1055,NA,NA,NA,51.56,NA,43.16
1056,NA,NA,NA,69.98,NA,64.05
1057,26.14,31.32,42.62,44.38,NA,NA
1058,NA,NA,NA,75.9,75.69,81.03
1059,NA,NA,NA,60.9,63.18,70.82
1060,48.77,61.1,61.94,61.89,NA,NA
1061,NA,NA,NA,52.57,53.59,50.78
1062,NA,NA,NA,51.1,NA,NA
1063,41.74,NA,NA,NA,NA,NA
1064,29.49,28.47,44.65,40.69,33.07,36.77
1065,57.01,NA,61.7,66.54,71.67,68.14
1066,49.23,49.75,43.09,55.75,49.7,53.91
1067,50.82,54.04,58.29,NA,55.55,NA
1068,NA,NA,NA,52.66,58.48,NA
1069,NA,NA,NA,54.75,57.16,59.32
1070,NA,NA,NA,76.07,80.05,76.6
1071,48.76,44.89,52.99,59.62,65.49,NA
1072,69.68,65.68,70.32,74.75,76.47,77.7
1073,54.85,NA,66.91,72.52,73.89,75.38
1074,NA,NA,NA,64.45,68.46,70.55
1075,NA,NA,NA,76.99,80.3,84.87
1076,54.22,52.14,NA,NA,NA,NA
1077,NA,NA,NA,53.94,NA,NA
1078,NA,NA,NA,64.14,69.44,69.87
1079,44.2,48.8,NA,NA,NA,NA
1080,39.44,43.63,50.99,52.13,50.54,45.2
1081,NA,NA,NA,46.95,52.66,55.43
1082,48.87,58.05,NA,NA,61.06,NA
1083,NA,NA,NA,58.05,62.09,NA
1084,NA,NA,NA,49.88,67.89,68.71
1085,NA,NA,NA,51.74,NA,53.39
1086,52.48,49.33,60.97,NA,NA,NA
1087,58.67,57.33,63.45,62.62,62.56,58.84
1088,NA,NA,NA,58.64,62.43,66.95
1089,55.47,NA,NA,NA,NA,NA
1090,NA,NA,NA,56.72,67.27,67.6
1091,54,49.56,NA,NA,NA,NA
1092,56.3,69.56,67.83,NA,NA,NA
1093,NA,NA,NA,53.16,NA,NA
1094,37.1,34.86,28.66,43.67,37.9,NA
1095,49.58,NA,NA,64.12,NA,NA
1096,NA,NA,NA,NA,NA,NA
1097,47.05,48.07,42.29,NA,NA,NA
1098,NA,NA,NA,48.38,51.81,62.32
1099,NA,NA,NA,61.75,68.5,69.76
1100,NA,NA,NA,60.12,65.33,69.22
1101,NA,NA,NA,60.54,58.09,NA
1102,NA,NA,NA,48.44,68.58,71.87
1103,37.95,38.36,56.99,NA,NA,NA
1104,49.44,62.48,64.95,71.55,73.24,75.57
1105,NA,NA,NA,35.72,67.94,NA
1106,NA,NA,NA,49.55,48.83,41.26
1107,NA,NA,NA,70.28,72.04,NA
1108,60.56,67.42,69.81,72.81,70.79,74.88
1109,NA,NA,NA,53.07,50.9,55.83
1110,NA,NA,NA,63.23,60.38,NA
1111,NA,NA,NA,57.44,52.23,NA
1112,44.48,61.6,60.65,65.32,64.19,69.98
1113,NA,NA,NA,43.03,40.85,39.16
1114,NA,NA,NA,60.82,71.23,67.88
1115,NA,NA,NA,62.22,54.65,56.03
1116,45.97,NA,62.21,61.22,NA,NA
1117,NA,NA,NA,64.49,74.54,69.76
1118,NA,NA,NA,52.61,58.36,57.53
1119,NA,NA,NA,53.23,NA,NA
1120,NA,NA,NA,60.4,63.12,NA
1121,NA,NA,NA,52.36,NA,47.09
1122,NA,NA,NA,41.11,NA,NA
1123,58.31,62.04,63.99,65.66,71.34,64.73
1124,48.38,43.04,65.57,68.47,80.57,NA
1125,NA,NA,NA,83.38,83.65,84.77
1126,41.08,NA,61.94,NA,NA,NA
1127,27.13,NA,39.48,NA,NA,NA
1128,NA,NA,NA,69.57,71.19,66.34
1129,NA,51.74,66.06,69.15,NA,NA
1130,NA,NA,NA,59.88,NA,NA
1131,NA,NA,NA,75.16,73.37,NA
1132,64.27,70.91,73.38,79.33,80.97,82.22
1133,NA,NA,NA,44.12,NA,41.67
1134,56.59,62.41,65.24,71.14,72.14,NA
1135,47.43,45.81,57.33,54.03,61.44,65.91
1136,NA,NA,NA,62.85,NA,NA
1137,49.54,54.09,53.98,54.97,66.5,NA
1138,45.91,38.08,34.93,31.15,NA,NA
1139,NA,NA,NA,55.87,53.68,64.94
1140,71.99,75.24,77.85,81.31,79.76,76.2
1141,NA,NA,NA,44.54,38.75,44.31
1142,55.55,55.45,63.01,64.36,64.23,68.36
1143,NA,NA,NA,42.62,51.36,46.67
1144,27.75,31.03,43.01,36.3,NA,NA
1145,44.5,NA,NA,NA,NA,NA
1146,62.34,55.62,64.85,70.68,74.12,85.51
1147,NA,NA,NA,63.28,67.68,68.06
1148,NA,NA,NA,59.72,NA,62.12
