         *         *         *    45.480    42.420         *    41.165     0.775    43.435     0.075     0.726     0.274     1.000
    33.130    34.290         *    30.910    40.870         *    33.680     1.291    34.880     0.756     0.699     0.301     1.000
         *         *         *    63.480    65.020    64.320    52.914     2.869    52.457     2.995     0.054     0.946     2.000
    54.930         *         *         *         *         *    54.089     2.838    54.229     3.214     0.123     0.877     2.000
    46.930    42.970    53.630    65.350         *         *    46.781     3.924    46.752     3.946     0.009     0.991     2.000
    26.750         *         *         *         *         *    32.071     2.592    32.471     3.665     0.350     0.650     2.000
         *         *         *    76.340    79.140    74.980    63.963     3.179    63.906     3.194     0.007     0.993     2.000
         *         *         *    61.860         *    64.860    51.597     2.942    51.179     3.069     0.054     0.946     2.000
    41.690    42.920    65.820    64.900         *         *    47.721     4.381    47.715     4.385     0.002     0.998     2.000
         *         *         *    41.740    53.550    52.600    40.290     2.687    38.725     3.118     0.185     0.815     2.000
    48.570    64.170    64.350    69.030    70.270    82.070    55.610     4.170    55.609     4.170     0.000     1.000     2.000
    46.460    46.330    52.090    55.720    53.250    60.130    45.319     2.697    45.005     2.819     0.083     0.917     2.000
         *         *         *    49.290    45.110    49.820    42.840     1.212    46.289     0.264     0.592     0.408     1.000
         *         *         *    64.860    67.450    69.560    54.410     3.190    54.239     3.237     0.020     0.980     2.000
         *         *         *    39.250         *         *    38.155     1.241    40.351     0.169     0.618     0.382     1.000
    56.800         *         *         *         *         *    55.544     2.837    55.673     3.184     0.113     0.887     2.000
    65.500    69.090    73.310    77.350    81.120    84.640    65.573     3.669    65.571     3.670     0.000     1.000     2.000
         *         *         *    37.090    37.440    38.310    36.948     0.316    37.858     0.066     0.892     0.108     1.000
         *         *         *    75.810    82.050         *    65.318     3.697    65.305     3.701     0.002     0.998     2.000
         *         *         *    75.050    75.050    80.210    61.869     3.460    61.839     3.469     0.004     0.996     2.000
         *         *         *    44.580    57.040    53.780    42.584     2.771    41.370     3.105     0.144     0.856     2.000
    63.140    69.450    67.580    66.260         *         *    61.918     2.608    61.722     2.755     0.060     0.940     2.000
    42.360    38.330         *    58.930         *         *    42.409     3.803    42.346     3.859     0.023     0.977     2.000
         *         *         *    59.590    66.700    64.730    51.991     3.111    51.716     3.186     0.033     0.967     2.000
         *         *         *    75.220    76.680    81.400    62.678     3.535    62.657     3.541     0.003     0.997     2.000
         *         *         *    44.700    50.760    53.250    40.773     2.426    38.669     3.004     0.249     0.751     2.000
         *         *         *    69.910    70.070    70.740    57.513     3.084    57.351     3.128     0.019     0.981     2.000
    42.220         *    58.070    58.810    55.810    61.100    46.563     2.995    46.385     3.057     0.039     0.961     2.000
         *         *         *    65.660         *         *    55.161     3.211    54.949     3.315     0.037     0.963     2.000
         *         *         *    62.630         *         *    52.934     3.120    52.614     3.276     0.056     0.944     2.000
    62.870    70.370         *         *         *         *    63.544     3.080    63.516     3.187     0.035     0.965     2.000
    49.900    36.200    45.480    47.880    51.530    50.220    42.457     1.942    41.171     2.440     0.338     0.662     2.000
    58.540    53.940    64.920    62.940    65.670         *    54.999     2.872    54.889     2.922     0.028     0.972     2.000
    41.000    56.530    55.490         *    51.250    42.660    49.418     0.109    49.841    -0.060     0.886     0.114     1.000
         *         *         *    50.580    58.170    60.390    45.010     3.056    44.405     3.223     0.072     0.928     2.000
         *         *         *    59.480    58.070    64.850    48.502     2.946    47.932     3.102     0.067     0.933     2.000
    35.130    44.930         *    37.510    41.130         *    39.108     0.557    39.705     0.292     0.850     0.150     1.000
    60.800    59.120    62.440    62.510    70.060    66.130    57.002     2.649    56.893     2.691     0.028     0.972     2.000
    54.500    63.890    63.110    70.720    66.910         *    57.086     3.023    57.031     3.048     0.014     0.986     2.000
         *         *         *    58.920         *    63.410    49.660     2.936    49.155     3.088     0.065     0.935     2.000
    46.770    44.100         *    58.250         *    62.160    45.608     3.389    45.549     3.418     0.017     0.983     2.000
         *         *         *    60.830         *         *    51.634     3.054    51.227     3.253     0.071     0.929     2.000
    74.590    71.100    76.640    82.700    87.700    85.920    70.689     3.506    70.688     3.506     0.000     1.000     2.000
    52.750    69.480         *         *         *         *    58.808     3.361    58.786     3.446     0.028     0.972     2.000
    48.240    55.280         *         *         *         *    50.463     3.057    50.384     3.363     0.102     0.898     2.000
         *         *         *    62.110         *    67.500    52.202     3.136    51.958     3.209     0.032     0.968     2.000
         *         *         *    50.430    54.420    60.700    43.514     2.988    42.732     3.203     0.093     0.907     2.000
         *         *         *    66.460         *         *    55.756     3.232    55.565     3.325     0.033     0.967     2.000
         *         *         *    47.250         *         *    42.734     2.117    40.763     3.080     0.343     0.657     2.000
    47.270    47.980    49.510    53.690    61.730    60.570    45.919     3.299    45.861     3.322     0.015     0.985     2.000
         *         *         *    41.070         *         *    39.199     1.440    41.753     0.192     0.556     0.444     1.000
    54.330    56.620    61.160    58.090         *    59.950    53.562     1.928    52.832     2.289     0.213     0.787     2.000
